,prefix,Uniprot ID 1,Uniprot ID 2,Sequence Length 1,Sequence Length 2,PDB,Chain 1,Chain 2,N residue contacts (5Ang),PFAM domains 1,PFAM domains 2,Chain start 1,Chain end 1,Chain start 2,Chain end 2,Protein name 1,Gene name 1,Protein name 2,Gene name 2,Organism 1,Organism 2,Resolution (Ang),contains DNA,contains RNA,Org1,Org2,kingdom1,kingdom2
706,allpdb0829,Q1PIV4_9POXV,PAP1_VACCW,333,479,2GAF,A,D,97,PF01358;,PF03296;PF12629;PF12630;,1,297,11,479,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase (EC 2.1.1.57),VAC_DPP10_106 VAC_DPP12_106 VAC_DPP13_106 VAC_DPP15_106 VAC_DPP16_106 VAC_DPP17_106 VAC_DPP19_106 VAC_DPP20_106 VAC_DPP21_106 VAC_DPP9_106 VACAC2_106 VACCL3_106 VACV-DUKE-103 VACV_091 VACV_TT12_115,Poly(A) polymerase catalytic subunit (EC 2.7.7.19) (Poly(A) polymerase large subunit) (PAP-L) (VP55),PAPL VACWR057 E1L,Vaccinia virus,Vaccinia virus (strain Western Reserve) (VACV) (Vaccinia virus (strain WR)),2.4,N,N,Vaccinia virus,Vaccinia virus,V,V
707,allpdb0830,ARTN_HUMAN,GFRA3_HUMAN,220,400,2GH0,C,A,52,PF00019;,PF02351;,122,220,151,363,Artemin (Enovin) (Neublastin),ARTN EVN,GDNF family receptor alpha-3 (GDNF receptor alpha-3) (GDNFR-alpha-3) (GFR-alpha-3),GFRA3 UNQ339/PRO538/PRO3664,Homo sapiens (Human),Homo sapiens (Human),1.92,N,N,Homo sapiens,Homo sapiens,E,E
708,allpdb0831,VINC_HUMAN,IPAA_SHIFL,1134,633,2GWW,A,B,61,PF01044;,PF09052;,1,258,602,631,Vinculin (Metavinculin) (MV),VCL,Invasin IpaA (70 kDa antigen),ipaA CP0125,Homo sapiens (Human),Shigella flexneri,2.72,N,N,Homo sapiens,Shigella flexneri,E,B
709,allpdb0832,RB11A_HUMAN,RFIP2_HUMAN,216,512,2GZH,A,B,33,PF00071;,PF00168;PF09457;,2,173,409,512,Ras-related protein Rab-11A (Rab-11) (YL8),RAB11A RAB11,Rab11 family-interacting protein 2 (Rab11-FIP2) (NRip11),RAB11FIP2 KIAA0941,Homo sapiens (Human),Homo sapiens (Human),2.47,N,N,Homo sapiens,Homo sapiens,E,E
710,allpdb0833,IGLL1_HUMAN,VPREB_HUMAN,213,145,2H32,B,A,84,PF07654;,PF07686;,93,213,20,145,Immunoglobulin lambda-like polypeptide 1 (CD179 antigen-like family member B) (Ig lambda-5) (Immunoglobulin omega polypeptide) (Immunoglobulin-related protein 14.1) (CD antigen CD179b),IGLL1 IGL1,Immunoglobulin iota chain (CD179 antigen-like family member A) (Protein VPreB1) (V(pre)B protein) (VpreB protein) (CD antigen CD179a),VPREB1 VPREB,Homo sapiens (Human),Homo sapiens (Human),2.7,N,N,Homo sapiens,Homo sapiens,E,E
711,allpdb0834,FA10_HUMAN,Q16938_ANCCA,488,91,2H9E,H,C,74,PF00008;PF00594;PF00089;,PF01826;,86,467,8,91,Coagulation factor X (EC 3.4.21.6) (Stuart factor) (Stuart-Prower factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain],F10,Anti-coagulant protein C2 (Fragment),,Homo sapiens (Human),Ancylostoma caninum (Dog hookworm),2.2,N,N,Homo sapiens,Ancylostoma caninum,E,E
712,allpdb0837,PAL_ECOLI,TOLB_ECOLI,173,430,2HQS,C,B,95,PF00691;,PF07676;PF04052;,64,173,23,430,Peptidoglycan-associated lipoprotein,pal excC b0741 JW0731,Protein TolB,tolB b0740 JW5100,Escherichia coli (strain K12),Escherichia coli (strain K12),1.5,N,N,Escherichia coli,Escherichia coli,B,B
713,allpdb0838,ARC1_YEAST,SYMC_YEAST,376,751,2HSN,B,A,52,PF01588;,PF09635;PF09334;,1,122,2,160,tRNA-aminoacylation cofactor ARC1 (Acyl-RNA-complex protein 1) (GU4 nucleic-binding protein 1) (G4p1 protein) (P42) (tRNA-interacting factor ARC1),ARC1 G4P1 YGL105W G3085,"Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)",MES1 YGR264C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.2,N,N,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
714,allpdb0839,THIS_THET2,THIG_THET8,64,268,2HTM,G,C,92,PF02597;,PF05690;,1,64,1,268,Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS),thiS TT_C0316,Thiazole synthase (EC 2.8.1.10),thiG TTHA0676,Thermus thermophilus (strain HB27 / ATCC BAA-163 / DSM 7039),Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579),2.3,N,N,Thermus thermophilus,Thermus thermophilus,B,B
715,allpdb0840,RL7A_PYRFU,NOP10_PYRFU,123,60,2HVY,D,C,33,PF01248;,PF04135;,1,123,1,60,50S ribosomal protein L7Ae (Large ribosomal subunit protein eL8) (Ribosomal protein L8e),rpl7ae PF1367,Ribosome biogenesis protein Nop10,nop10 PF1141,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),2.3,N,Y,Pyrococcus furiosus,Pyrococcus furiosus,A,A
716,allpdb0841,MED20_YEAST,MED18_YEAST,210,307,2HZM,A,B,135,PF08612;,PF09637;,1,210,2,307,Mediator of RNA polymerase II transcription subunit 20 (Hyper-recombination suppressor protein 2) (Mediator complex subunit 20) (Suppressor of RNA polymerase B 2),SRB2 HRS2 MED20 YHR041C,Mediator of RNA polymerase II transcription subunit 18 (Mediator complex subunit 18) (Suppressor of RNA polymerase B 5),SRB5 MED18 YGR104C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.4,N,N,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
717,allpdb0842,MTAC_METBF,MTAB_METBF,258,461,2I2X,J,I,113,PF02310;PF02607;,PF12176;,1,258,1,461,Methanol--corrinoid protein (Methanol:corrinoid methyltransferase 1 subunit of 27 kDa) (MT1 subunit 27 kDa),mtaC Mbar_A0740,Methanol--corrinoid protein co-methyltransferase (EC 2.1.1.90) (Methanol:corrinoid methyltransferase 1 subunit of 50 kDa) (MT1 subunit 50 kDa),mtaB Mbar_A0741,Methanosarcina barkeri (strain Fusaro / DSM 804),Methanosarcina barkeri (strain Fusaro / DSM 804),2.5,N,N,Methanosarcina barkeri,Methanosarcina barkeri,A,A
718,allpdb0843,BUB3_YEAST,MAD3_YEAST,341,515,2I3T,C,D,119,PF00400;,PF08311;PF08171;,1,341,353,400,Cell cycle arrest protein BUB3,BUB3 YOR026W OR26.16,Spindle assembly checkpoint component MAD3 (Mitotic MAD3 protein),MAD3 YJL013C J1341,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.8,N,N,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
719,allpdb0844,DPO3E_ECOLI,Q71T70_BPP1,243,87,2IDO,C,D,68,PF00929;,PF06440;,1,186,5,87,DNA polymerase III subunit epsilon (EC 2.7.7.7),dnaQ mutD b0215 JW0205,Hot,hot,Escherichia coli (strain K12),Escherichia phage P1 (Bacteriophage P1),2.1,N,N,Escherichia coli,Escherichia phage P1,B,V
720,allpdb0845,TSST_STAAU,A0A5B4_HUMAN,234,111,2IJ0,B,C,63,PF02876;,PF07686;,41,234,15,110,Toxic shock syndrome toxin-1 (TSST-1),tst,T-cell receptor beta variable 20-1 (V_segment translation product) (Fragment),TCRBV2S1 TRBV20-1,Staphylococcus aureus,Homo sapiens (Human),2.25,N,N,Staphylococcus aureus,Homo sapiens,B,E
721,allpdb0846,CXAR_HUMAN,Q80S15_9ADEN,365,210,2J12,B,A,63,PF00047;PF07686;,PF00541;,13,140,17,210,Coxsackievirus and adenovirus receptor (CAR) (hCAR) (CVB3-binding protein) (Coxsackievirus B-adenovirus receptor) (HCVADR),CXADR CAR,Fiber protein (Fragment),,Homo sapiens (Human),Human adenovirus D37,1.5,N,N,Homo sapiens,Human adenovirus D37,E,
722,allpdb0847,Q72EF3_DESVH,Q72EF4_DESVH,524,159,2J7A,B,C,107,PF02335;,PF03264;,25,524,1,159,Cytochrome c-552 (EC 1.7.2.2),DVU_0625,Cytochrome c-type protein,DVU_0624,Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / DSM 644 / NCIMB 8303),Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / DSM 644 / NCIMB 8303),2.3,N,N,Desulfovibrio vulgaris,Desulfovibrio vulgaris,B,B
723,allpdb0849,FLNA_HUMAN,ITB2_HUMAN,2647,769,2JF1,A,T,49,PF00307;PF00630;,PF08725;PF07965;PF00362;PF17205;,2236,2329,735,769,Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin),FLNA FLN FLN1,"Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)",ITGB2 CD18 MFI7,Homo sapiens (Human),Homo sapiens (Human),2.2,N,N,Homo sapiens,Homo sapiens,E,E
724,allpdb0850,Y1470_HAEIN,Y1471_HAEIN,253,337,2NQ2,C,A,83,PF00005;,PF01032;,1,253,1,337,Uncharacterized ABC transporter ATP-binding protein HI_1470,HI_1470,Probable ABC transporter permease protein HI_1471,HI_1471,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),2.4,N,N,Haemophilus influenzae,Haemophilus influenzae,B,B
725,allpdb0851,CATL1_HUMAN,CHAG_TRYCR,333,110,2NQD,B,A,77,PF08246;PF00112;,PF09394;,113,333,2,110,Cathepsin L1 (EC 3.4.22.15) (Cathepsin L) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L1 heavy chain; Cathepsin L1 light chain],CTSL CTSL1,Chagasin,cha,Homo sapiens (Human),Trypanosoma cruzi,1.75,N,N,Homo sapiens,Trypanosoma cruzi,E,E
726,allpdb0852,GLNK_ECOLI,AMTB_ECOLI,112,428,2NS1,B,A,28,PF00543;,PF00909;,1,112,23,428,Nitrogen regulatory protein P-II 2,glnK ybaI b0450 JW0440,Ammonia channel (Ammonia transporter),amtB ybaG b0451 JW0441,Escherichia coli (strain K12),Escherichia coli (strain K12),1.96,N,N,Escherichia coli,Escherichia coli,B,B
727,allpdb0853,AVRB_PSESG,RIN4_ARATH,321,211,2NUD,A,C,103,PF05394;,PF05627;,1,321,142,176,Avirulence protein B,avrB,RPM1-interacting protein 4,RIN4 At3g25070 MJL12_1,Pseudomonas savastanoi pv. glycinea (Pseudomonas syringae pv. glycinea),Arabidopsis thaliana (Mouse-ear cress),2.3,N,N,Pseudomonas savastanoi pv. glycinea,Arabidopsis thaliana,B,E
728,allpdb0854,PDXT_BACSU,PDXS_BACSU,196,294,2NV2,L,K,119,PF01174;,PF01680;,1,196,1,294,Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2),pdxT yaaE BSU00120,Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1) (Superoxide-inducible protein 7) (SOI7),pdxS yaaD BSU00110,Bacillus subtilis (strain 168),Bacillus subtilis (strain 168),2.12,N,N,Bacillus subtilis,Bacillus subtilis,B,B
729,allpdb0855,XCL1_HUMAN,O41925_MHV68,114,406,2NYZ,E,B,42,PF00048;,PF09213;,22,114,25,406,Lymphotactin (ATAC) (C motif chemokine 1) (Cytokine SCM-1) (Lymphotaxin) (SCM-1-alpha) (Small-inducible cytokine C1) (XC chemokine ligand 1),XCL1 LTN SCYC1,M3 (M3 protein),GAMMAHV.M3 M3,Homo sapiens (Human),Murid herpesvirus 4 (MuHV-4) (Murine gammaherpesvirus 68),2.6,N,N,Homo sapiens,Murid herpesvirus 4,E,V
730,allpdb0857,PP1G_RAT,IPP2_MOUSE,323,206,2O8G,A,I,143,PF00149;PF16891;,PF04979;,2,323,1,206,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit (PP-1G) (EC 3.1.3.16) (Protein phosphatase 1C catalytic subunit),Ppp1cc,Protein phosphatase inhibitor 2 (IPP-2),Ppp1r2,Rattus norvegicus (Rat),Mus musculus (Mouse),2.5,N,N,Rattus norvegicus,Mus musculus,E,E
731,allpdb0858,THIO_ECOLI,CYSH_ECOLI,109,244,2O8V,B,A,59,PF00085;,PF01507;,2,109,1,244,Thioredoxin 1 (Trx-1),trxA fipA tsnC b3781 JW5856,"Phosphoadenosine phosphosulfate reductase (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAPS sulfotransferase) (PAdoPS reductase)",cysH b2762 JW2732,Escherichia coli (strain K12),Escherichia coli (strain K12),3,N,N,Escherichia coli,Escherichia coli,B,B
732,allpdb0859,1433C_TOBAC,PMA3_NICPL,260,956,2O98,A,P,68,PF00244;,PF00690;,1,242,905,956,14-3-3-like protein C (14-3-3-like protein B),,Plasma membrane ATPase 3 (EC 3.6.3.6) (Proton pump 3),PMA3,Nicotiana tabacum (Common tobacco),Nicotiana plumbaginifolia (Leadwort-leaved tobacco) (Tex-Mex tobacco),2.7,N,N,Nicotiana tabacum,Nicotiana plumbaginifolia,E,E
733,allpdb0861,FINC_HUMAN,ESR1_HUMAN,2386,595,2OCF,D,A,63,PF00039;PF00040;PF00041;,PF12743;PF00104;PF02159;PF00105;,1447,1540,298,595,Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3],FN1 FN,Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1),ESR1 ESR NR3A1,Homo sapiens (Human),Homo sapiens (Human),2.95,N,N,Homo sapiens,Homo sapiens,E,E
734,allpdb0862,BOOH2_RHIMP,THRB_BOVIN,142,625,2ODY,E,B,131,PF00014;,PF00594;PF00051;PF09396;PF00089;,16,142,318,625,Boophilin-H2,H2,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],F2,Rhipicephalus microplus (Cattle tick) (Boophilus microplus),Bos taurus (Bovine),2.35,N,N,Rhipicephalus microplus,Bos taurus,E,E
735,allpdb0863,GNAI1_HUMAN,RGS14_HUMAN,354,566,2OM2,A,B,133,PF00503;,PF02188;PF02196;PF00615;,31,354,497,532,Guanine nucleotide-binding protein G(i) subunit alpha-1 (Adenylate cyclase-inhibiting G alpha protein),GNAI1,Regulator of G-protein signaling 14 (RGS14),RGS14,Homo sapiens (Human),Homo sapiens (Human),2.2,N,N,Homo sapiens,Homo sapiens,E,E
736,allpdb0864,CADH1_HUMAN,INLA_LISMO,882,800,2OMY,B,A,81,PF00028;PF01049;PF08758;,PF09479;PF00746;PF12354;PF12799;PF08191;,156,254,36,495,Cadherin-1 (CAM 120/80) (Epithelial cadherin) (E-cadherin) (Uvomorulin) (CD antigen CD324) [Cleaved into: E-Cad/CTF1; E-Cad/CTF2; E-Cad/CTF3],CDH1 CDHE UVO,Internalin-A,inlA lmo0433,Homo sapiens (Human),Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e),1.7,N,N,Homo sapiens,Listeria monocytogenes serovar 1/2a,E,B
737,allpdb0865,RAB21_HUMAN,RABX5_HUMAN,225,708,2OT3,B,A,88,PF00071;,PF02204;PF01754;,16,183,310,614,Ras-related protein Rab-21,RAB21 KIAA0118,Rab5 GDP/GTP exchange factor (RAP1) (Rabaptin-5-associated exchange factor for Rab5) (Rabex-5),RABGEF1 RABEX5,Homo sapiens (Human),Homo sapiens (Human),2.1,N,N,Homo sapiens,Homo sapiens,E,E
738,allpdb0866,Q9LCU8_PARDE,Q9LCU9_PARDE,109,140,2OXG,Z,Y,95,PF08770;,PF13501;,2,109,27,140,SoxZ protein,soxZ,SoxY protein,soxY,Paracoccus denitrificans,Paracoccus denitrificans,1.4,N,N,Paracoccus denitrificans,Paracoccus denitrificans,B,B
739,allpdb0867,ICAM1_HUMAN,HVM13_MOUSE,532,117,2OZ4,A,H,54,PF03921;,PF07686;,213,477,1,117,Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54),ICAM1,Ig heavy chain V region J558,,Homo sapiens (Human),Mus musculus (Mouse),2.7,N,N,Homo sapiens,Mus musculus,E,E
740,allpdb0868,NH2L1_HUMAN,PRP31_HUMAN,128,499,2OZB,D,E,34,PF01248;,PF01798;PF09785;,1,128,78,333,"NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (SNU13 homolog) (hSNU13) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]",SNU13 NHP2L1,U4/U6 small nuclear ribonucleoprotein Prp31 (Pre-mRNA-processing factor 31) (Serologically defined breast cancer antigen NY-BR-99) (U4/U6 snRNP 61 kDa protein) (Protein 61K) (hPrp31),PRPF31 PRP31,Homo sapiens (Human),Homo sapiens (Human),2.6,N,Y,Homo sapiens,Homo sapiens,E,E
741,allpdb0870,B2CL1_HUMAN,BECN1_HUMAN,233,450,2P1L,E,F,63,PF00452;PF02180;,PF04111;PF15285;,1,209,107,135,Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X),BCL2L1 BCL2L BCLX,Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein) (Protein GT197) [Cleaved into: Beclin-1-C 35 kDa; Beclin-1-C 37 kDa],BECN1 GT197,Homo sapiens (Human),Homo sapiens (Human),2.5,N,N,Homo sapiens,Homo sapiens,E,E
742,allpdb0871,IMB1_HUMAN,SPN1_HUMAN,876,360,2P8Q,A,B,104,PF03810;,PF11538;,1,876,25,64,Importin subunit beta-1 (Importin-90) (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97),KPNB1 NTF97,Snurportin-1 (RNA U transporter 1),SNUPN RNUT1 SPN1,Homo sapiens (Human),Homo sapiens (Human),2.35,N,N,Homo sapiens,Homo sapiens,E,E
743,allpdb0872,GNB5_MOUSE,RGS9_MOUSE,395,675,2PBI,D,C,303,PF00400;,PF00610;PF00631;PF00615;,43,395,1,422,Guanine nucleotide-binding protein subunit beta-5 (Gbeta5) (Transducin beta chain 5),Gnb5,Regulator of G-protein signaling 9 (RGS9),Rgs9,Mus musculus (Mouse),Mus musculus (Mouse),1.95,N,N,Mus musculus,Mus musculus,E,E
744,allpdb0873,PHO85_YEAST,PHO80_YEAST,305,293,2PK9,A,B,99,PF00069;,PF08613;,1,305,1,293,Cyclin-dependent protein kinase PHO85 (EC 2.7.11.22) (Negative regulator of the PHO system) (Serine/threonine-protein kinase PHO85),PHO85 SSG3 YPL031C P7102.18A,PHO85 cyclin PHO80 (Aminoglycoside antibiotic sensitivity protein 3) (Phosphate system cyclin PHO80),PHO80 AGS3 TUP7 VAC5 YOL001W O2505 UNB293,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.91,N,N,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
745,allpdb0875,TRFL_HUMAN,Q54972_STREE,710,619,2PMS,A,C,39,PF00405;,PF01473;,21,362,199,319,Lactotransferrin (Lactoferrin) (EC 3.4.21.-) (Growth-inhibiting protein 12) (Talalactoferrin) [Cleaved into: Lactoferricin-H (Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C],LTF GIG12 LF,Pneumococcal surface protein A,pspA,Homo sapiens (Human),Streptococcus pneumoniae,2.91,N,N,Homo sapiens,Streptococcus pneumoniae,E,V
746,allpdb0876,ODP2_HUMAN,PDK3_HUMAN,647,406,2PNR,G,E,31,PF00198;PF00364;PF02817;,PF10436;PF02518;,212,319,9,406,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (70 kDa mitochondrial autoantigen of primary biliary cirrhosis) (PBC) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (M2 antigen complex 70 kDa subunit) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)",DLAT DLTA,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 3)",PDK3 PDHK3,Homo sapiens (Human),Homo sapiens (Human),2.5,N,N,Homo sapiens,Homo sapiens,E,E
747,allpdb0877,MDV1_YEAST,FIS1_YEAST,714,155,2PQN,B,A,49,PF11542;PF00400;,PF14853;PF14852;,122,171,1,129,Mitochondrial division protein 1 (Mitochondria fission 2 protein),MDV1 FIS2 GAG3 NET2 YJL112W J0802,Mitochondrial fission 1 protein (Mitochondrial division protein 2),FIS1 MDV2 YIL065C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.15,N,N,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
748,allpdb0878,I15RA_MOUSE,IL15_MOUSE,263,162,2PSM,C,B,47,PF00084;,PF02372;,33,103,49,162,Interleukin-15 receptor subunit alpha (IL-15 receptor subunit alpha) (IL-15R-alpha) (IL-15RA) (CD antigen CD215) [Cleaved into: Soluble interleukin-15 receptor subunit alpha (sIL-15 receptor subunit alpha) (sIL-15R-alpha) (sIL-15RA)],Il15ra,Interleukin-15 (IL-15),Il15,Mus musculus (Mouse),Mus musculus (Mouse),2.19,N,N,Mus musculus,Mus musculus,E,E
749,allpdb0879,Q7BK04_HELPX,O25990_HELPY,330,264,2PT7,D,H,45,PF00437;,PF14804;,1,330,113,264,Cag alpha (Cag pathogenicity island protein) (Cag-alfa) (CagAlpha protein) (P-type DNA transfer ATPase VirB11) (VirB11-like protein),cag-alfa cag-alpha cagAlpha virB11 AA971_03950 AC785_03890 ACM25_02070 ACM37_01770 AEY53_03685 AM497_06540 AM498_02085 BGL72_04505 BZK21_07190 CEP78_03640 HP0525,Uncharacterized protein,HP_1451,Helicobacter pylori (Campylobacter pylori),Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),2.4,N,N,Helicobacter pylori,Helicobacter pylori,V,V
750,allpdb0880,THRB_HUMAN,HIRV1_HIRME,622,65,2PW8,H,I,84,PF00594;PF00051;PF09396;PF00089;,PF00713;,334,621,3,65,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],F2,Hirudin variant-1 (Hirudin-1) (Hirudin-I) (Lepirudin),,Homo sapiens (Human),Hirudo medicinalis (Medicinal leech),1.84,N,N,Homo sapiens,Hirudo medicinalis,E,E
751,allpdb0881,TRAR_SINFN,TRAM_SINFN,236,107,2Q0O,A,C,104,PF03472;PF00196;,PF09228;,1,236,1,107,Probable transcriptional activator protein TraR,traR NGR_a04090 y4dH,Probable transcriptional repressor TraM,traM NGR_a04080 y4dI,Sinorhizobium fredii (strain NBRC 101917 / NGR234),Sinorhizobium fredii (strain NBRC 101917 / NGR234),2,N,N,Sinorhizobium fredii,Sinorhizobium fredii,B,B
752,allpdb0882,RPOE_RHOS4,CHRR_RHOS4,181,213,2Q1Z,A,B,220,PF04542;PF04545;,PF12973;PF13490;,1,181,1,195,ECF RNA polymerase sigma factor RpoE (Alternative RNA polymerase sigma factor RpoE) (RNA polymerase sigma-E factor) (Sigma-24),rpoE RHOS4_27100 RSP_1092,Anti-sigma-E factor ChrR (Sigma-E anti-sigma factor ChrR) (Transcriptional activator ChrR),chrR RHOS4_27110 RSP_1093,Rhodobacter sphaeroides (strain ATCC 17023 / 2.4.1 / NCIB 8253 / DSM 158),Rhodobacter sphaeroides (strain ATCC 17023 / 2.4.1 / NCIB 8253 / DSM 158),2.4,N,N,Rhodobacter sphaeroides,Rhodobacter sphaeroides,B,B
753,allpdb0883,TCB2_MOUSE,TCA_MOUSE,173,138,2Q86,D,C,84,PF07654;,PF09291;,1,136,1,117,T-cell receptor beta-2 chain C region,,T-cell receptor alpha chain C region,Tcra,Mus musculus (Mouse),Mus musculus (Mouse),1.85,N,N,Mus musculus,Mus musculus,E,E
754,allpdb0884,KAP0_BOVIN,KAPCA_MOUSE,380,351,2QCS,B,A,142,PF00027;PF02197;,PF00069;,91,380,2,351,"cAMP-dependent protein kinase type I-alpha regulatory subunit [Cleaved into: cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed]",PRKAR1A,cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11),Prkaca Pkaca,Bos taurus (Bovine),Mus musculus (Mouse),2.2,N,N,Bos taurus,Mus musculus,E,E
755,allpdb0886,UBP3_YEAST,BRE5_YEAST,912,515,2QIY,C,A,59,PF00443;,PF02136;,190,233,1,146,Ubiquitin carboxyl-terminal hydrolase 3 (EC 3.4.19.12) (Deubiquitinating enzyme 3) (Ubiquitin thioesterase 3) (Ubiquitin-specific-processing protease 3),UBP3 YER151C,UBP3-associated protein BRE5 (Brefeldin-A sensitivity protein 5),BRE5 YNR051C N3465,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1.69,N,N,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
756,allpdb0887,GIPR_HUMAN,GIP_HUMAN,466,153,2QKH,A,B,40,PF00002;PF02793;,PF00123;,24,138,52,93,Gastric inhibitory polypeptide receptor (GIP-R) (Glucose-dependent insulinotropic polypeptide receptor),GIPR,Gastric inhibitory polypeptide (GIP) (Glucose-dependent insulinotropic polypeptide) (Incretin hormone),GIP,Homo sapiens (Human),Homo sapiens (Human),1.9,N,N,Homo sapiens,Homo sapiens,E,E
757,allpdb0888,DCP2_SCHPO,DCP1_SCHPO,741,127,2QKL,B,A,65,PF05026;PF00293;,PF06058;,1,95,1,127,mRNA decapping complex subunit 2 (EC 3.-.-.-),dcp2 SPAC19A8.12,mRNA-decapping enzyme subunit 1,dcp1 SPBC3B9.21,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),2.33,N,N,Schizosaccharomyces pombe,Schizosaccharomyces pombe,E,E
